,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
09/15/2022 13:43:30,0,0,1.52680874,6.153846,1.92016363,38,35,36,35,40,1310.40112,1310.40112,1310.40112,1310.40112,2.81345367,0.252495557,0.0181806367,0,100.800087
09/15/2022 13:43:31,3.8461566,1.53846145,1.53846145,4.615384,2.88461447,37,37,37,34,41,1310.40173,1310.40173,1310.40173,1310.40173,3.49533916,0.549723744,0.0281769782,0,100.800133
09/15/2022 13:43:32,3.125,0,0,6.25,2.34375,37,36,35,34,41,1411.20178,1411.20178,1310.40161,1310.40161,2.83312273,0.239454985,0.0135678928,0,100.800125
09/15/2022 13:43:33,3.125,1.57489777,1.5625,3.125,2.34684944,37,37,35,36,40,1411.20142,1411.20142,1411.20142,1310.40137,2.74881077,0.3087043,0.0329908356,0,100.8001
09/15/2022 13:43:34,1.53846145,0,0,6.153846,1.9230783,36,36,35,35,41,1411.20154,1310.40137,1310.40137,1310.40137,2.92145061,0.259636223,0.01767505,0,100.80011
09/15/2022 13:43:35,3.16220522,1.5625,0.78125,7.118058,3.15600038,37,37,36,36,41,1411.20142,1411.20142,1310.40137,1411.20142,3.07578754,0.319689,0.0210426655,0,100.8001
09/15/2022 13:43:36,3.076923,0,0.793647766,6.153846,2.506107,36,36,36,35,40,1310.40149,1310.40149,1310.40149,1310.40149,2.676267,0.227398008,0.0179063063,0,100.800117
09/15/2022 13:43:37,2.34375,2.34375,1.5504837,4.6875,2.731371,37,36,36,35,40,3830.40454,1310.40161,1411.20166,1310.40161,3.18099976,0.419915438,0.0384323224,0,100.800117
09/15/2022 13:43:38,0.78125,0.78125,0,4.6875,1.5625,36,36,36,35,40,1310.40137,1310.40137,1310.40137,1310.40137,2.844968,0.2830588,0.02267666,0,100.8001
09/15/2022 13:43:39,0.78125,0,0.757575035,7.03125,2.14251876,37,36,36,36,41,1310.40161,1310.40161,1310.40161,1310.40161,3.350511,0.489648461,0.0199409854,0,100.800125
09/15/2022 13:43:40,0,0.7692337,0.793647766,3.8461566,1.35225654,37,35,36,35,41,1310.40137,1310.40137,1310.40137,1310.40137,3.07287884,0.3903988,0.0350730047,0,100.8001
09/15/2022 13:43:41,3.125,0.78125,2.30768919,2.34375,2.13942528,37,35,36,36,41,1310.40161,1310.40161,1310.40161,1310.40161,2.9201827,0.334832639,0.0292512923,0,100.800125
09/15/2022 13:43:42,2.34375,0.806450844,0,5.493951,2.161038,37,37,36,34,40,1310.40161,1310.40161,1310.40161,1310.40161,2.841879,0.235139742,0.0251607466,0,100.800125
09/15/2022 13:43:43,2.30768919,2.26176977,7.46268654,21.515501,8.386916,37,38,38,38,41,1411.201,1411.201,1310.401,1310.401,7.55680037,4.120036,0.03691251,0,100.800072
09/15/2022 13:43:44,1.53846145,1.53846145,1.58730149,4.615384,2.31990218,37,37,36,36,41,1310.40186,1411.202,1310.40186,1411.202,3.85331678,0.814496338,0.0170575157,0,100.80014
09/15/2022 13:43:45,1.53846145,0.7692337,0.746268034,7.69230747,2.686572,37,37,36,35,40,1310.40161,1310.40161,1310.40161,1411.20166,2.97584248,0.335879236,0.03999486,0,100.800117
09/15/2022 13:43:46,0.7692337,0,1.53846145,4.615384,1.73076987,37,37,36,34,41,1310.40137,1411.20142,1310.40137,1310.40137,2.72463322,0.266678065,0.0200675633,0,100.8001
09/15/2022 13:43:47,1.53846145,0.7692337,2.29603648,3.8461566,2.112466,37,37,35,35,40,1310.401,1310.401,1310.401,1310.401,3.33449578,0.4573549,0.0367737673,0,100.800079
09/15/2022 13:43:48,1.5625,0.78125,1.5625,6.25,2.5390625,37,37,36,36,40,1411.20215,1411.20215,1310.402,1411.20215,3.31753039,0.81300056,0.0193411764,0,100.800148
09/15/2022 13:43:49,1.5625,0.78125,3.125,6.25,2.9296875,37,37,35,36,41,1310.40173,1310.40173,1310.40173,1411.20178,3.16363025,0.4097071,0.0281427223,0,100.800133
09/15/2022 13:43:50,1.53846145,2.31971145,1.5504837,6.92307949,3.082937,36,36,36,36,40,1411.20154,1310.40137,1310.40137,1310.40137,3.12425351,0.356570452,0.0297889765,0,100.80011
09/15/2022 13:43:51,2.34375,2.3317337,0.7692337,4.6875,2.53305435,37,37,36,34,40,1310.401,1411.20117,1310.401,1310.401,3.104051,0.3885121,0.0270940922,0,100.800079
09/15/2022 13:43:52,0,1.53846145,0.7692337,3.076923,1.346159,36,37,36,35,40,1310.40186,1310.40186,1310.40186,1411.202,2.72998857,0.331103116,0.02433687,0,100.800148
09/15/2022 13:43:53,3.125,0.78125,0.78125,3.90625,2.1484375,36,36,36,34,40,1310.40137,1310.40137,1310.40137,1310.40137,3.17990637,0.440679282,0.0202257242,0,100.8001
09/15/2022 13:43:54,0.7692337,0.7692337,1.5625,2.30768919,1.35216713,36,35,36,35,42,1310.402,1411.20215,1310.402,1411.20215,3.6289475,0.4691477,0.02887341,0,100.800148
09/15/2022 13:43:56,0.7692337,0,0,3.8461566,1.15384459,36,36,36,34,40,1411.20117,1411.20117,1310.40112,3628.80322,2.72712636,0.24094075,0.01711535,0,100.800087
09/15/2022 13:43:57,1.5625,0,1.538825,5.46875,2.14251876,37,37,36,36,40,1411.20129,1310.40125,1310.40125,1915.20178,3.044109,0.476736963,0.0302400962,0,100.800095
09/15/2022 13:43:58,1.53846145,0.7692337,1.53846145,3.8461566,1.9230783,37,36,35,35,40,1411.20215,1310.402,2923.20435,2016.003,3.73690557,0.6614189,0.0258211587,0,100.800156
09/15/2022 13:43:59,1.5625,0,1.5625,6.25,2.34375,35,37,37,36,41,1814.39978,1411.19983,1411.19983,1411.19983,2.7818768,0.230938882,0.0187952369,0,100.799988
